T,F_channel,F_composed,T_eff_fit,KL_bits
2.860000000000000320e+00,5.806496515306673878e-01,6.335382192041847382e-01,3.206007280119710146e+00,4.400716303788565487e-02
2.870000000000000107e+00,5.720205441298757965e-01,6.243421751359689020e-01,3.227222118966222908e+00,4.413286529494822585e-02
2.879999999999999893e+00,5.634495822806191434e-01,6.152003907294445462e-01,3.248494604769949667e+00,4.425192478313533934e-02
2.890000000000000124e+00,5.549403335774534263e-01,6.061169136571069593e-01,3.269824250780367869e+00,4.436442397343896143e-02
2.900000000000000355e+00,5.464961435736112039e-01,5.970955553225814061e-01,3.291210573112342885e+00,4.447044762533686191e-02
2.910000000000000142e+00,5.381201416311162111e-01,5.881398966419691954e-01,3.312653090788959531e+00,4.457008260399345639e-02
2.919999999999999929e+00,5.298152469164181255e-01,5.792532940530323859e-01,3.334151325782398700e+00,4.466341770163278352e-02
2.930000000000000160e+00,5.215841745166075460e-01,5.704388855629459743e-01,3.355704803053551011e+00,4.475054346403349592e-02
2.940000000000000391e+00,5.134294416475789768e-01,5.616995969477668327e-01,3.377313050585849297e+00,4.483155202283618107e-02
2.950000000000000178e+00,5.053533739316798945e-01,5.530381481051307446e-01,3.398975599418822213e+00,4.490653693277603387e-02
2.959999999999999964e+00,4.973581117198415114e-01,5.444570594155290211e-01,3.420691983678179504e+00,4.497559301454356201e-02
2.969999999999999751e+00,4.894456164386207786e-01,5.359586582057704884e-01,3.442461740603349085e+00,4.503881620294711979e-02
2.979999999999999982e+00,4.816176769412611192e-01,5.275450851975463928e-01,3.464284410573712059e+00,4.509630340060000880e-02
2.990000000000000213e+00,4.738759158447494735e-01,5.192183010019597589e-01,3.486159537130824049e+00,4.514815233723050436e-02
3.000000000000000000e+00,4.662217958353076508e-01,5.109800925848143605e-01,3.508086667000970493e+00,4.519446143396406435e-02
3.009999999999999787e+00,4.586566259282184865e-01,5.028320796395246983e-01,3.530065350113232192e+00,4.523532967383662312e-02
3.020000000000000018e+00,4.511815676650306473e-01,4.947757211005112676e-01,3.552095139615162545e+00,4.527085647733802148e-02
3.030000000000000249e+00,4.437976412407118043e-01,4.868123213904759217e-01,3.574175591892031711e+00,4.530114158254008871e-02
3.040000000000000036e+00,4.365057315411491889e-01,4.789430366766277980e-01,3.596306266575105326e+00,4.532628493236396522e-02
3.049999999999999822e+00,4.293065940882909715e-01,4.711688811055747550e-01,3.618486726556728428e+00,4.534638656507548188e-02
